Rootstock,Seedlings_Treatment,Gross_Margin,Diease ,Pest,Pesticide_Usage ,Fertilization_Usage
0,1,0.817307692,6,4,7,4
1,0,0.677777778,5,3,8,3
0,0,0.766666667,5,3,7,4
1,0,0.71,5,3,8,4
1,0,0.7875,2,3,5,3
1,1,0.91,3,2,8,6
1,1,0.325,4,5,9,1
1,0,0.960416667,4,2,3,2
0,0,0.794117647,2,2,8,4
0,0,0.6125,5,3,12,3
1,0,0.817647059,1,1,5,4
0,0,0.845,6,4,8,3
0,0,0.892857143,3,4,6,3
0,0,0.90625,3,3,7,3
0,0,0.892857143,2,3,7,3
1,0,0.892857143,3,2,8,2
1,0,0.925,2,4,7,3
1,0,0.90625,3,3,7,3
0,0,0.915,2,2,6,3
1,0,0.869230769,3,3,7,3
1,0,0.892857143,3,2,8,2
0,0,0.925,3,4,7,3
0,0,0.88125,3,3,8,3
1,0,0.90625,3,2,8,3
0,0,0.916666667,4,3,7,3
0,0,0.878571429,4,3,8,2
1,0,0.915,4,3,6,3
0,0,0.9375,3,4,7,2
1,0,0.915,3,3,7,3
0,0,0.89375,3,3,7,3
0,0,0.89375,3,3,6,2
1,0,0.89375,3,2,6,3
0,0,0.89375,4,2,6,3
1,0,0.90625,3,3,7,3
0,0,0.892857143,3,3,7,2
1,0,0.89375,3,4,8,3
1,0,0.905555556,3,2,7,3
0,0,0.915,4,3,7,3
0,0,0.89375,3,4,8,3
1,0,0.905,4,3,8,3
1,0,0.915,3,4,7,3
1,0,0.915,4,4,7,3
