Gender,Age,Edu,Area,Training,T-Age,Identity,Farm Cooperative,FP
0,58,12,2.5,0,4.5,0,0,1
1,43,12,2.5,0,4.5,0,0,1
1,47,9,7.5,0,7.5,0,0,1
1,57,15,2.5,0,4.5,0,0,1
0,50,12,2.5,0,4.5,0,0,1
1,65,9,2.5,0,4.5,0,0,1
0,45,12,2.5,0,4.5,0,0,1
1,45,6,7.5,0,7.5,1,1,1
1,50,6,7.5,1,7.5,0,1,1
0,65,15,7.5,1,4.5,0,1,0
0,41,9,7.5,1,7.5,0,1,1
1,50,6,7.5,1,7.5,0,1,1
0,36,12,7.5,1,4.5,0,0,1
1,45,6,7.5,1,7.5,0,1,0
1,29,12,2.5,0,4.5,0,0,1
0,57,12,2.5,0,4.5,0,0,1
1,50,9,2.5,0,4.5,0,0,1
0,45,12,7.5,0,4.5,0,0,1
1,59,12,7.5,0,7.5,0,0,1
1,65,15,2.5,0,7.5,0,0,1
1,54,9,2.5,0,4.5,0,0,1
0,48,12,2.5,0,7.5,0,0,1
0,48,9,2.5,0,4.5,0,0,1
1,36,16,2.5,0,4.5,0,0,1
1,43,12,2.5,1,4.5,0,0,1
0,85,12,2.5,0,4.5,0,0,1
0,48,12,900,0,4.5,0,0,1
0,40,9,2.5,0,7.5,0,0,1
0,50,12,2.5,0,7.5,0,0,1
1,58,12,2.5,0,4.5,0,0,1
0,51,9,75,1,4.5,1,1,1
1,56,12,7.5,0,4.5,0,0,1
1,71,9,2.5,0,4.5,0,0,1
0,30,12,2.5,0,4.5,0,0,1
0,48,9,7.5,0,10,1,0,1
1,56,9,2.5,0,7.5,0,0,1
0,52,9,2.5,0,4.5,0,0,1
1,45,15,2.5,0,7.5,0,1,1
0,56,12,2.5,0,7.5,0,0,1
1,56,12,2.5,0,4.5,0,0,1
1,64,12,2.5,0,7.5,0,0,1
0,33,16,2.5,0,4.5,0,0,1
0,50,12,2.5,0,4.5,0,0,1
1,62,9,2.5,0,4.5,0,0,1
0,30,16,7.5,1,4.5,1,1,1
1,32,16,2.5,0,4.5,0,1,1
