Gross Margin,FB-MM,FB-FC,FB-ATESC,FB-ACD,FB-EXP,FB-FP,FB-PE,Gender,Age,Edu,Area,Training,T-Age,Identity,Farm Cooperative
0.75,0,0,0,1,0,0,0,1,58,9,2.5,0,4.5,1,0
0.625,0,0,0,1,0,0,0,1,52,9,2.5,0,4.5,1,0
0.8375,0,0,0,1,0,1,0,1,66,9,2.5,1,4.5,0,0
0.425,0,0,0,0,0,1,1,1,45,9,7.5,0,10,0,0
0.778571429,0,0,1,0,1,0,0,0,43,9,7.5,0,10,1,0
0.80625,0,0,1,0,1,0,0,1,48,12,7.5,1,10,1,1
0.741666667,0,0,1,0,0,0,1,0,39,9,7.5,0,10,0,0
0.88125,0,0,0,1,0,1,0,1,55,12,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,1,0,52,9,2.5,0,4.5,0,0
0.807142857,0,0,1,0,1,0,0,1,50,12,2.5,0,10,1,0
0.875,0,1,1,0,1,1,0,0,42,9,2.5,1,7.5,1,0
0.815,0,0,0,1,1,1,0,0,48,9,7.5,1,10,1,0
0.903333333,1,0,0,0,0,0,0,1,45,12,2.5,0,10,0,1
0.879166667,0,0,1,0,1,0,0,1,57,9,2.5,0,10,1,1
0.828947368,0,0,0,1,0,1,1,0,58,12,2.5,0,7.5,0,0
0.879166667,0,0,1,0,1,0,0,1,45,9,2.5,0,7.5,1,0
0.69,0,1,0,0,0,0,1,1,24,16,2.5,0,4.5,1,0
0.814285714,0,0,0,1,0,1,0,1,75,9,2.5,0,7.5,0,0
0.715789474,0,0,0,0,0,1,0,0,40,9,7.5,0,2,0,0
0.855555556,0,0,0,1,0,1,0,1,52,12,2.5,0,4.5,0,0
0.845,0,1,0,0,0,1,0,1,48,9,2.5,0,7.5,0,0
0.8375,0,0,0,1,0,1,0,1,66,9,2.5,0,4.5,0,0
0.8375,0,0,0,1,0,1,1,1,64,9,15,0,10,0,0
0.8375,0,0,0,1,0,1,0,0,31,15,7.5,0,7.5,0,0
0.8375,0,0,0,1,0,1,0,1,31,16,2.5,0,7.5,0,0
